Area,Transport Mode,2011,2011%,2006,2006%,2001,2001%,1996,1996%,1991,1991%
City of Sydney,Train,16140,15.7683,10829,13.1051,10708,15.4338,7980,14.5591,5815,13.5683
City of Sydney,Bus,13655,13.3406,10786,13.0531,9058,13.056,7267,13.2577,7499,17.4986
City of Sydney,Tram or Ferry,437,0.4269,315,0.3812,327,0.4718,49,0.0894,85,0.1983
City of Sydney,Taxi,1526,1.4909,1403,1.6979,1437,2.0713,1396,2.5467,1180,2.754
City of Sydney,Car - as driver,23253,22.7175,20757,25.1198,17494,25.2152,14795,26.9929,10625,24.7909
City of Sydney,Car - as passenger,2510,2.4522,2535,3.0678,2364,3.4074,2122,3.872,1814,4.2317
City of Sydney,Truck,190,0.1856,189,0.2287,191,0.2753,0,0,0,0
City of Sydney,Truck,190,0.5569,189,0.6862,191,0.8259,0,0,0,0
City of Sydney,Motorbike,1150,1.1235,589,0.7128,286,0.4122,302,0.551,234,0.5465
City of Sydney,Bicycle,2953,2.885,1376,1.6652,1092,1.5738,655,1.1948,513,1.1975
City of Sydney,Walked only,25853,25.2577,20113,24.3404,14771,21.2898,10510,19.1745,8484,19.7955
City of Sydney,Other,1803,1.7615,2250,2.7229,1331,1.9183,1016,1.8533,338,0.7884
City of Sydney,Worked at home,4029,3.9362,3180,3.8484,2985,4.3019,2156,3.934,1461,3.409
City of Sydney,Did not go to work,7954,7.7708,7307,8.8428,6548,9.4375,5798,10.5773,3242,7.5635
City of Sydney,Not stated,904,0.8832,1003,1.2138,788,1.1357,766,1.3973,1568,3.6577
City of Sydney,Total employed persons aged 15+,102357,100,82632,100,69378,100,54812,100,42857,100
Greater Sydney,Train,284461,13.8428,232887,12.2926,241985,13.3297,213126,12.7168,200855,12.5452
Greater Sydney,Bus,119526,5.8165,101551,5.3602,95529,5.2622,87442,5.2175,129384,8.0811
Greater Sydney,Tram or Ferry,7603,0.37,6675,0.3523,6220,0.3426,4845,0.2891,6325,0.3951
Greater Sydney,Taxi,5927,0.2884,6291,0.3321,6612,0.3642,7699,0.4594,10068,0.6289
Greater Sydney,Car - as driver,1104851,53.7656,1017466,53.7055,945203,52.0662,890160,53.1143,787796,49.2047
Greater Sydney,Car - as passenger,92772,4.5146,99555,5.2549,101518,5.5921,106057,6.3283,123271,7.6993
Greater Sydney,Truck,21768,1.0593,25555,1.3489,29868,1.6453,0,0,0,0
Greater Sydney,Truck,21768,3.1779,25555,4.0466,29868,4.9358,0,0,0,0
Greater Sydney,Motorbike,12583,0.6123,9031,0.4767,7089,0.3905,7707,0.4599,7955,0.4969
Greater Sydney,Bicycle,15608,0.7595,10927,0.5768,9279,0.5111,8249,0.4922,8815,0.5506
Greater Sydney,Walked only,84237,4.0992,79313,4.1864,69139,3.8085,62788,3.7464,65007,4.0603
Greater Sydney,Other,19557,0.9517,16446,0.8681,20202,1.1128,27918,1.6658,17489,1.0923
Greater Sydney,Worked at home,81457,3.964,74261,3.9198,74675,4.1134,66313,3.9568,54197,3.3851
Greater Sydney,Did not go to work,174215,8.4779,179233,9.4606,177163,9.759,165570,9.8793,126059,7.8735
Greater Sydney,Not stated,30375,1.4781,35337,1.8652,30905,1.7024,28057,1.6741,63836,3.9871
Greater Sydney,Total employed persons aged 15+,2054940,100,1894529,100,1815386,100,1675931,100,1601058,100
Inner Sydney Region,Train,63986,15.8028,48206,13.4452,49627,14.5859,42302,13.5533,37699,12.4399
Inner Sydney Region,Bus,51555,12.7326,46353,12.9283,44093,12.9594,40068,12.8375,51994,17.157
Inner Sydney Region,Tram or Ferry,3073,0.7589,2585,0.721,2298,0.6754,1153,0.3694,1453,0.4795
Inner Sydney Region,Taxi,2898,0.7157,2999,0.8365,3141,0.9232,3594,1.1515,4300,1.4189
Inner Sydney Region,Car - as driver,153787,37.9811,142732,39.8094,135294,39.7644,130953,41.9564,116965,38.5961
