Area,Distance from CBD
Sydney,0
Haymarket,0.746
Darlinghurst,0.951
Ultimo,1.08
Woolloomooloo,1.09
Pyrmont,1.35
Surry Hills,1.37
Kings Cross,1.41
Chippendale,1.53
The Rocks - Millers Point - Dawes Point,1.64
Potts Point,1.65
Elizabeth Bay,1.92
Glebe - Forest Lodge,2
Rushcutters Bay,2
Redfern,2.13
Darlington,2.22
Paddington,2.29
Rosebery,2.33
Camperdown,2.88
Waterloo - Zetland,3.52
Green Square,3.61
Centennial Park - Moore Park,3.72
Erskineville - Eveleigh,3.75
Newtown,3.8
Alexandria - Beaconsfield,4.25
